ARQUIVOS                                                                                                                                                                                      ,VELOCIDADE (lenta/rápida),PRESSÃO (fraca/forte),espaço,,Frame inicial e Frame final,Descrição LETRAS,letra,time_shift,Selecionada,acelerar,total de frames
,,,DIREÇÃO (indireto/direto),TAMANHO (pequeno/grande),,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
espaco.001,7,2,10,6,1-30,espaço9,#,12-32,,,20
jessica_s_1,9,4,5,7,90-120,espaço1,#,90-120,,,30
jessica_s_2,9,3,8,7,87-121,espaço2,#,87-121,,,37
jessica_s_2,9,1,5,5,123-159,espaço3,#,90-110,,,20
jessica_s_3,9,3,9,6,65-88,espaço4,#,21-84,,,63
jessica_s_4,8,1,3,8,71-88,espaço5,#,71-88,,,17
jessica_s_6,9,2,7,8,160-174,espaço5,#,107-164,,,57
Bia_B1_001,8,3,8,6,247- 281,c1 - minúsculo ,c,78-133,,,55
diego_e_1_002,8,6,6,6,46-75,c,#c,75-46,,,29
diego_e_1_005,8,6,6,6,64-17 de COSTAS,c,#c,64-17,,,47
Helder_E_2,4,3,5,6,36-115,c,c,19-115,,,96
jessica_c_3,9,4,3,6,82-139,c2_minúsculo ,c,46-77,,,31
thiago_s_2,5,2,4,5,90-38,c4,c,90-38,,,52
thiago_s_6,7,3,3,4,14-77,c3_minúsculo ,c,14-66,,,52
amanda_m_,5,3,7,4,58-109,e minúsculo,e,59-104,,,45
diego_e_1_004,7,6,6,8,14-94,e1,e,19-80,,,61
jessica_e_1,9,3,7,10,37-79,e,e,37-79,,,42
jessica_e_6,10,1,2,4,26-110,e,e,26-110,,,84
jessica_e_7,9,3,4,4,19-108,e4_minúsculo ,e,36-118,,,28
amanda_m_,6,7,4,6,64-132,m,m,64-132,,,68
Amanda_m_1,6,3,3,7,1-72,m2,m,43-156,,,113
samara_m_2,2,6,9,5,13-148 ,m3-minúsculo ,m,0-280,x,1,280
samara_m_4,3,6,7,5,12-267,m,m,12-267,,,255
Bia_A_1.001,8,4,5,6,80 - 85 + 177 - 222,o2 -minúsculo ,o,152-189,,,37
bia_e_1_003,9,7,5,3,120-93,o,o,93-120,,,27
diego_e_1,7,2,5,8,22-66,o,o,22-66,,,44
diego_e_1_001,6,2,5,8,64-27,o,o,64-27,,,37
diego_o_1,6,6,10,2,12-58,o3,o,12-58,,,46
Helder_D_3,3,6,5,5,143-36,o,o,143-36,,,107
samara_aa_1,7,5,7,7,46-88  flip horizontal,o,o,46-88,,,42
samara_aa_1,7,2,6,7,96-47,o,o,96-47,,,49
Thiago_o_4,8,2,7,6,93 - 165,o4_minúsculo ,o,26-60,,,34
amanda_a_3,8,2,8,8,7-40,P,P,8-42,,,34
amanda_m_,7,3,5,5,30-86   ,p 1,p,88-50,,,38
bia_e_1_002,10,1,8,8,150-173,"P
",P,81-65,,,16
bia_e_1_002,8,1,7,7,102-63,p,p,102-63,,,36
samara_s_3,5,1,7,7,1-71,p Costas,#p,1-71,,,70
bia_r_1.003,3,6,4,8,138-397  ,r1- minúsculo ,r,164-278,,,114
helder_r_3,2,2,10,4,88-241,r,r,88-241,,,153
samara_m_2,9,2,9,7,1-88,r5_minúsculo ,r,1-88,,,87
samara_r_2,4,6,4,4,12-135,r,r,12-135,,,123
samara_r_3,3,5,4,4,12-116,r,r,12-116,,,104
Bia_A_1.002,8,5,2,7,173 -198,S1- maiúsculo ,S,99-175,,,76
jessica_s_5,8,3,4,6,46-104,s,s,46-104,,,56
samara_s_1,5,3,2,5,16-110,s,s,16-110,,,94
samara_s_4,6,4,4,5,35 - 133,S2_maiúsculo ,S,31-100,,,69
thiago_s_3,6,3,5,6,26-68,s,s,26-68,,,42
amanda_m_3,5,3,4,4,54-99,v1,v,55-98,,,43
helder_w_1,4,4,10,6,144 - 254   flip horizontal,v2_ minúsculo ,v,24-154,,,130
helder_w_5,2,2,10,6,262 - 480  flip horizontal,V3_maiúsculo ,V,48-145,,,97
jessica_s_2,10,2,4,10,76-96,v4_minúsculo ,v,69-97,,,28
samara_r_1,6,4,4,7,16-62,v5,v,15-100,,,85
Samara_r_4,7,6,6,6,1-68,v6_minúsculo ,v,5-80,,,75